"...1"	"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"
"1"	"1"	"{00793F3F-F1CC-E811-914C-74867AD5B714}"	0	1	1	10	14	1	4	10.1	24	2	11.1	27	3	8.4	30	3	7.73476294124306	22.1199999968211	21	20	21	18	3	2	5	5	0	0	1	0	2	2	1	1	0	0	0	0	0	2	0	0	1	2	2	1	1	2	1	14800	3	4	5	2	1	2	4	2	2	2	2	2	4	1	3	2	2	2	3	1	3	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	2.07920792079208	1.8018018018018	2.5	2.32715600164305	0.198019801980198	0	0	0	0	0	0.119047619047619	0
"2"	"2"	"{01023F7A-67C3-E811-914C-74867AD5B714}"	1	0	1	21	10	0	3	8	24	3	7.2	28	3	6.8	29	3	5.97650183766384	52.4813833316167	20	19	13	8	5	4	1	0	3	3	0	5	2	2	2	2	1	4	0	0	0	1	1	1	1	1	6	1	2	2	2	15900	3	5	4	4	2	2	5	2	2	4	2	2	5	3	4	2	2	4	3	2	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	2.5	2.63888888888889	1.91176470588235	1.33857567809719	0.125	0.138888888888889	0.147058823529412	0	0.375	0.416666666666667	0	0.836609798810746
"3"	"3"	"{01579974-02D2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	2	5.8	18	3	5.4	20	3	6.7	25	3	4.6118611667335	19.8945500016212	14	17	12	12	2	0	2	1	0	0	1	1	2	2	2	0	0	0	0	1	0	0	0	2	1	1	2	1	1	1	2	9800	4	4	3	2	2	2	5	2	2	3	2	2	2	5	1	1	3	3	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	2.41379310344828	3.14814814814815	1.7910447761194	2.60198639251307	0	0	0.298507462686567	0	0	0	0.149253731343284	0.216832199376089
"4"	"4"	"{019DE0D5-31C0-E811-914C-74867AD5B714}"	1	0	1	12	12	1	2	9.8	17	0	8.7	18	0	8.4	26	0	7.25357902960908	21.357216668129	8	14	14	17	3	4	3	4	5	1	0	9	1	2	2	1	0	0	0	0	0	1	2	1	1	1	2	1	1	2	1	15200	4	4	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0.816326530612245	1.60919540229885	1.66666666666667	2.34367061151551	0.102040816326531	0.229885057471264	0.119047619047619	0	0.510204081632653	0.114942528735632	0	1.24076679433174
"5"	"5"	"{0221C89B-CED2-E811-8FB7-74867AD5B714}"	1	0	1	10	8	2	3	6.3	18	3	7.4	21	3	7.6	23	2	6.25408258109686	18.2935499986013	17	14	21	17	2	3	2	2	1	3	4	1	2	2	1	2	0	0	0	0	0	0	1	0	1	1	1	1	1	1	2	11500	1	4	3	3	2	1	4	3	1	1	1	1	3	5	1	2	2	2	2	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	2.6984126984127	1.89189189189189	2.76315789473684	2.71822442053819	0	0.135135135135135	0	0	0.158730158730159	0.405405405405405	0.526315789473684	0.159895554149305
"6"	"6"	"{0275F221-8CC6-E811-914C-74867AD5B714}"	1	0	1	15	13	4	4	4.6	16	2	5.2	20	3	5.1	28	3	4.78786320352643	35.2122833331426	6	9	14	6	0	0	1	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	2	1	6	1	2	2	1	12000	4	5	4	4	2	4	5	4	2	4	2	2	2	1	4	2	1	1	3	3	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1.30434782608696	1.73076923076923	2.74509803921569	1.25316863597539	0	0	0.196078431372549	0	0	0	0	0.417722878658465
"7"	"7"	"{03DF384B-A6D8-E811-8FB7-74867AD5B714}"	1	0	1	2	10	1	2	5.2	26	3	5.6	29	3	5.9	33	3	5.38568444871494	25.9026000022888	6	11	11	7	1	2	2	1	6	6	6	6	1	2	2	1	0	0	0	0	0	0	0	1	1	1	5	1	1	2	2	11600	1	1	2	2	2	1	4	1	1	2	1	1	1	5	1	1	1	1	1	1	5	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1.15384615384615	1.96428571428571	1.86440677966102	1.29974194861532	0	0	0.169491525423729	0	1.15384615384615	1.07142857142857	1.01694915254237	1.11406452738456
"8"	"8"	"{04857B76-DDC0-E811-914C-74867AD5B714}"	1	0	1	6	10	1	2	7.8	17	0	6.7	18	0	7.1	19	0	5.5117573711736	14.9695000012716	12	13	16	12	2	4	3	3	3	2	7	0	1	0	2	2	0	1	0	0	1	1	0	1	2	1	1	1	1	1	1	11500	2	3	1	1	2	4	2	1	2	2	1	1	2	5	5	1	1	2	2	5	3	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1.53846153846154	1.94029850746269	2.25352112676056	2.1771640498473	0.128205128205128	0	0.140845070422535	0.181430337487275	0.384615384615385	0.298507462686567	0.985915492957746	0
"9"	"9"	"{04B1F452-BDC5-E811-914C-74867AD5B714}"	1	0	1	15	12	4	2	5.1	11	2	5.4	16	3	5.3	17	3	4.34436271383387	24.1902833342552	5	7	8	8	1	3	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	2	1	2	2	1	9000	3	5	4	2	2	2	5	2	2	4	2	2	4	2	1	3	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0.980392156862745	1.2962962962963	1.50943396226415	1.84146686797707	0.392156862745098	0	0	0	0	0.185185185185185	0.188679245283019	0
"10"	"10"	"{04C56E00-AAD3-E811-8FB7-74867AD5B714}"	1	0	1	25	12	1	3	6.1	17	2	5.8	17	2	5.7	19	3	5.36099042527625	17.3442666649818	10	10	10	10	1	3	1	3	8	2	1	2	1	2	2	0	0	0	0	0	1	0	1	1	2	1	2	1	1	1	1	10800	2	5	4	1	2	2	2	1	1	2	1	1	2	5	2	4	2	2	3	1	3	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1.63934426229508	1.72413793103448	1.75438596491228	1.86532696511666	0	0.172413793103448	0.175438596491228	0.186532696511666	1.31147540983607	0.344827586206897	0.175438596491228	0.373065393023331
